file,my_won,my_score,my_words,my_words_over_800,my_words_over_1400,my_words_over_1800,my_words_over_2200,opp_score,opp_words,opp_words_over_800,opp_words_over_1400,opp_words_over_1800,opp_words_over_2200,notes,score_diff,words_diff,words_over_800_diff,words_over_1400_diff,words_over_1800_diff,words_over_2200_diff,total_score,total_words,my_avg_word_value,opp_avg_word_value,total_avg_word_value,avg_word_value_diff,my_hv_rate,opp_hv_rate,hv_rate_diff,opp_tier,game_idx
IMG_5917.PNG,0,9100,28,3,1,0,0,11700,34,5,1,0,0,,-2600,-6,-2,0,0,0,20800,62,325.0,344.11764705882354,335.48387096774195,-19.117647058823536,0.10714285714285714,0.14705882352941177,-0.03991596638655463,mid opponent (d3),30
IMG_5918.PNG,1,14600,40,7,1,0,0,13100,23,6,5,2,1,,1500,17,1,-4,-2,-1,27700,63,365.0,569.5652173913044,439.6825396825397,-204.56521739130437,0.175,0.2608695652173913,-0.08586956521739131,strong opponent (d3),31
IMG_5919.PNG,0,8900,32,3,0,0,0,12300,38,4,0,0,0,,-3400,-6,-1,0,0,0,21200,70,278.125,323.6842105263158,302.85714285714283,-45.55921052631578,0.09375,0.10526315789473684,-0.011513157894736836,mid opponent (d3),32
IMG_5920.PNG,1,8800,31,3,0,0,0,8100,27,3,0,0,0,,700,4,0,0,0,0,16900,58,283.8709677419355,300.0,291.37931034482756,-16.129032258064512,0.0967741935483871,0.1111111111111111,-0.01433691756272401,weak opponent (d3),33
IMG_5921.PNG,0,13000,33,7,1,0,0,14100,34,8,1,0,0,,-1100,-1,-1,0,0,0,27100,67,393.93939393939394,414.70588235294116,404.4776119402985,-20.766488413547222,0.21212121212121213,0.23529411764705882,-0.023172905525846693,strong opponent (d3),34
IMG_5922.PNG,1,8500,34,3,0,0,0,8000,24,5,0,0,0,,500,10,-2,0,0,0,16500,58,250.0,333.3333333333333,284.48275862068965,-83.33333333333331,0.08823529411764706,0.20833333333333334,-0.12009803921568628,mid opponent (d3),35
IMG_5923.PNG,0,12600,39,6,1,0,0,13900,37,6,1,0,0,,-1300,2,0,0,0,0,26500,76,323.0769230769231,375.6756756756757,348.6842105263158,-52.59875259875258,0.15384615384615385,0.16216216216216217,-0.008316008316008316,mid opponent (d3),36
IMG_5924.PNG,0,12600,34,5,3,0,0,12900,33,6,1,0,0,,-300,1,-1,2,0,0,25500,67,370.5882352941176,390.90909090909093,380.5970149253731,-20.32085561497331,0.14705882352941177,0.18181818181818182,-0.034759358288770054,mid opponent (d3),37
IMG_5925.PNG,1,14700,42,6,1,0,0,11900,33,5,1,0,0,,2800,9,1,0,0,0,26600,75,350.0,360.6060606060606,354.6666666666667,-10.606060606060623,0.14285714285714285,0.15151515151515152,-0.00865800865800867,mid opponent (d3),38
IMG_5926.PNG,1,9500,33,2,0,0,0,6600,18,3,0,0,0,,2900,15,-1,0,0,0,16100,51,287.8787878787879,366.6666666666667,315.6862745098039,-78.78787878787881,0.06060606060606061,0.16666666666666666,-0.10606060606060605,mid opponent (d3),39
IMG_5927.PNG,1,5400,21,0,0,0,0,4900,18,1,0,0,0,,500,3,-1,0,0,0,10300,39,257.14285714285717,272.22222222222223,264.1025641025641,-15.079365079365061,0.0,0.05555555555555555,-0.05555555555555555,weak opponent (d3),40
IMG_5928.PNG,0,9500,33,2,0,0,0,10500,36,3,1,0,0,,-1000,-3,-1,-1,0,0,20000,69,287.8787878787879,291.6666666666667,289.8550724637681,-3.7878787878788103,0.06060606060606061,0.08333333333333333,-0.02272727272727272,weak opponent (d3),41
